CreditScore,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited,Geography_Germany,Geography_Spain,Gender_Male,Engagement_Score,Balance_Salary_Ratio
-0.2462686567164179,0.4166666666666667,2,-0.761480032314815,0.0,1,1,0.01173910298084434,1,False,False,False,3,-64.86144402287432
-0.3283582089552239,0.3333333333333333,1,-0.10490626134011223,0.0,0,1,0.12551224505586478,0,False,True,False,2,-0.8358182540290423
-1.1194029850746268,0.4166666666666667,8,0.48934648363294714,2.0,1,0,0.1396299859825274,1,False,False,False,1,3.5045694205309204
0.35074626865671643,0.16666666666666666,1,-0.761480032314815,1.0,0,0,-0.06471729820677216,0,False,False,False,0,11.766433702401272
1.4776119402985075,0.5,2,0.2218061700238099,0.0,1,1,-0.21456086737829289,0,False,True,False,3,-1.033772870640067
-0.05223880597014925,0.5833333333333334,8,0.1297139612410242,1.0,1,0,0.5037579100002783,1,False,True,True,1,0.2574921429001673
1.2686567164179106,1.0833333333333333,7,-0.761480032314815,1.0,1,1,-0.9160956745557777,0,False,False,True,3,0.8312241665241241
-1.126865671641791,0.5833333333333334,4,0.3513870269430097,1.0,0,1,-0.2566765566947884,0,False,False,True,2,-1.3689929476254812
0.23880597014925373,-0.8333333333333334,2,0.29304369707555933,0.0,1,1,-0.28935158675174133,0,False,False,True,3,-1.0127634450832705
-0.9253731343283582,-0.5,6,0.0377469441629328,1.0,0,0,-0.20341071932008714,0,False,False,True,0,-0.1855709957670897
-1.1567164179104477,-1.0833333333333333,3,-0.761480032314815,1.0,1,0,-0.2419436884591592,0,False,True,True,1,3.1473570751998796
-1.3134328358208955,-0.25,10,-0.761480032314815,1.0,1,0,-0.7514568299827808,0,False,False,False,1,1.0133397093110101
-0.7686567164179104,-1.0,5,-0.761480032314815,1.0,0,0,0.9215106650568533,0,False,False,False,0,-0.8263379197352156
-0.12686567164179105,-0.16666666666666666,7,-0.761480032314815,1.0,1,1,-0.34803952945098593,0,False,True,False,3,2.187918773004854
-0.26865671641791045,0.6666666666666666,3,0.35983503838481073,1.0,0,1,-0.3645498838695644,0,True,False,True,2,-0.9870693734274597
0.007462686567164179,1.75,1,0.27736731402842774,0.0,1,0,-0.9665614223345235,1,True,False,True,1,-0.2869632437033841
-0.7686567164179104,-1.0833333333333333,9,-0.761480032314815,1.0,1,1,-0.8719470768938357,0,False,True,False,3,0.8733109219637323
-0.48507462686567165,0.6666666666666666,6,-0.761480032314815,0.0,0,0,0.5945034177197982,0,False,True,True,0,-1.2808652208766524
0.5522388059701493,-1.0833333333333333,6,-0.761480032314815,1.0,1,1,-0.4621574355431932,0,False,False,False,3,1.6476672696763668
0.5970149253731343,0.3333333333333333,8,-0.761480032314815,1.0,1,1,0.718518449817181,0,False,False,True,3,-1.0597904239176332
-0.11940298507462686,-0.4166666666666667,8,-0.761480032314815,1.0,1,0,0.3899080294721398,0,False,True,False,1,-1.9529684484242626
-1.0597014925373134,0.08333333333333333,4,-0.761480032314815,0.0,1,0,0.1902667944455082,1,False,True,False,1,-4.002148837295212
0.12686567164179105,0.75,3,-0.761480032314815,1.0,0,1,-0.9321045355602052,0,False,False,True,2,0.816947906819339
1.4477611940298507,0.08333333333333333,5,-0.761480032314815,0.0,1,1,0.888562629059404,0,False,False,False,3,-0.8569786196638339
-0.5597014925373134,-1.0,3,-0.761480032314815,1.0,0,1,0.24713212265294998,0,False,False,True,2,-3.0812544435177327
